produtoCSV,url,status,tituloExtraido,match
BONE JUVENIL 9FORTY MLB NEW YORK YANKEES ABA CURVA STRAPBACK MARINHO New Era,https://www.amazon.com.br/dp/B07GDM6HDX?pd_rd_i=B07GDM6HDX&pd_rd_w=mESGH&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=6B8XPK3AC3S9F8YVNZDA&pd_rd_wg=WHNUA&pd_rd_r=6e7b0c07-8a2e-4ae3-b46a-b38d480bbcd5&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=966961bf2c289be514a103b9a0eb830b&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,BONE JUVENIL 9FORTY MLB NEW YORK YANKEES ABA CURVA STRAPBACK MARINHO New Era | Amazon.com.br,SIM
Boné Liso Preto Basico Ajustavel de Fitão Masculino Feminino Aba Curva Strapback,https://www.amazon.com.br/dp/B0F4VH9ZRG?psc=1&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=20EXPPSEEEXF4QJWC0BN&pd_rd_wg=i07dX&pd_rd_w=AnuEr&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pd_rd_r=d1c2011d-7507-4af8-9697-f8464d2fe744&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&linkCode=sl1&tag=kayosaffili06-20&linkId=e6d012be38b8c65306191dfb884a9a25&language=pt_BR&ref_=as_li_ss_tl,OK,Amazon.com.br,NÃO
Jaqueta aquecida elétrica para homens e mulheres inverno quente unissex aquecido jaqueta de aquecimento 8 zonas jaqueta com capuz elétrico USB jaqueta térmica de inverno,https://www.amazon.com.br/dp/B0DL6KVXQ3?pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=EKN12AQD39ADMKFY87BT&pd_rd_wg=d0SMC&pd_rd_w=5KxrB&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pd_rd_r=bf840c49-f690-46b5-939f-91d723a0d6b8&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=5e42c1b16577d9b5098afd903b75bfb7&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
Jaqueta masculina jeans sarja fit Lavanda e Alecrim,https://www.amazon.com.br/Jaqueta-masculina-Lavanda-Alecrim-Regular/dp/B0D1SG7JBR?crid=2ML6DQ3KDH3Z1&dib=eyJ2IjoiMSJ9.EyqDtArq2arY_LT8E-_45QPM3PN_D7apbEDyy9wVcH2LtAIDYdNrI4sPZCInjtaGHzsB9sjArgsxgSsmTRSOlKZZ2B6OEgZqphlWBveNB4fG1FifMjDTiyXV7bBYCaWwAVpwob_QJBmgjyYyNZd8M9z7I6T_jmyA8nZ8_GA73Ef1y5s4XVX7Iv0zvXnNBevTGzM4Ip1WhEDxfxKRBFKD0h-_evCCt19MFA0rMjTrB1uoo7lh6IC5NnGrnHq2qM95DWiwPMZu-LgXJAg0m0zHrmm6pxEHzoCcxNui7B-BiiQ.j6CujHXpgXYBp53vFSm-ntgX2grm0u5oxWu4spaQxd0&dib_tag=se&keywords=jaqueta%2Bmasculina&qid=1752530213&s=apparel&sprefix=%2Cfashion%2C325&sr=1-15&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=61257426aa9f0eb0be7ca8c6daece697&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
Unisex Premium Sweatshirt,https://www.amazon.com.br/dp/B0DDJVZLM4?pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=EP4HYB4AZ03T25BZ6MRK&pd_rd_wg=9GxF3&pd_rd_w=Ctea7&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pd_rd_r=a83d2c34-48b8-4058-8da7-aa75debd81d3&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=baf8b63ec4f9ec75fb069d36f3b727ac&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
JMSUN Suéteres masculino Jaqueta Suéter de pulôver de gola de zíper masculino suéter de negócios de costura listrada,https://www.amazon.com.br/dp/B0B88NYRPM?pd_rd_i=B0B88NYRPM&pd_rd_w=K06Mo&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=0GYB80RN8FGBY6Z5F02Y&pd_rd_wg=WaF1M&pd_rd_r=54deb67a-461b-4726-9f59-e44319eab4f4&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=023663b63d17f330283d50061a530394&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
Jaqueta com Capuz,https://www.amazon.com.br/dp/B0F3D5PC8R?pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=0Z7ZZJRKE6MDXN9NV8Q9&pd_rd_wg=vmXsH&pd_rd_w=b3kvV&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pd_rd_r=a1b1b5c9-ac30-447a-a538-e2123423a48f&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=9ce4a667bbf477df21603e60ccebaddb&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
SevenDwarf casacos e jaquetas Masculina masculina gola pu jaqueta de moto jaqueta de lã com zíper quente,https://www.amazon.com.br/dp/B0B2DPFB7C?pd_rd_i=B0B2DPFB7C&pd_rd_w=V4rtP&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=4AHPBXSFC06C7MKYG1K1&pd_rd_wg=qpUbn&pd_rd_r=c5993325-1581-4d0e-8705-01de1b53b1c0&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=ceb4aefd227ab65035500549af8a9a9f&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
CNSTORE casacos e jaquetas masculinos Jaqueta corta-vento manga longa gola com zíper Jaqueta masculina listrada casual slim fit,https://www.amazon.com.br/dp/B0B25RZT58?pd_rd_i=B0B25RZT58&pd_rd_w=b3DeO&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=M16GE5EYZ02V03NVH914&pd_rd_wg=70YLD&pd_rd_r=5185380f-3f0a-472d-aaf4-5e3c3726cd9a&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=54bb91ed61a96c629b6b5f78781e038f&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
CNSTORE Jaqueta masculina Casaco de couro sintético para motocicletas casuais slim fit outono inverno jaquetas bomber de couro,https://www.amazon.com.br/dp/B0BVK7ZDCW?pd_rd_i=B0BVK7ZDCW&pd_rd_w=aV1FT&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=2XA8890X2KPBS2EEXFEP&pd_rd_wg=G96sV&pd_rd_r=6d04b652-dcfc-47ae-beaf-f46812947edf&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=5e6b962044285fcf77fc020694f552c3&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
